Ct,a
0.762031, 0.190138
0.762150, 0.190218
0.762262, 0.190293
0.762367, 0.190365
0.762467, 0.190432
0.762560, 0.190496
0.762648, 0.190556
0.762731, 0.190613
0.762809, 0.190667
0.762882, 0.190718
0.762952, 0.190766
0.763017, 0.190811
0.763078, 0.190853
0.763136, 0.190893
0.763190, 0.190931
0.763241, 0.190967
0.763289, 0.191001
0.763334, 0.191033
0.763377, 0.191062
0.763417, 0.191091
0.763455, 0.191117
0.763491, 0.191142
0.763524, 0.191166
0.763555, 0.191188
0.763585, 0.191209
0.763613, 0.191229
0.763639, 0.191247
0.763664, 0.191265
0.763687, 0.191281
0.763709, 0.191297
0.763730, 0.191311
0.763749, 0.191325
0.763767, 0.191338
0.763784, 0.191350
0.763800, 0.191362
0.763816, 0.191372
0.763830, 0.191383
0.763843, 0.191392
0.763856, 0.191401
0.763868, 0.191410
0.763879, 0.191418
0.763890, 0.191425
0.763899, 0.191432
0.763909, 0.191439
0.763918, 0.191445
0.763926, 0.191451
0.763934, 0.191457
0.763941, 0.191462
0.763948, 0.191467
0.763954, 0.191471
0.763960, 0.191476
0.763966, 0.191480
0.763971, 0.191484
0.763976, 0.191487
0.763981, 0.191491
0.763986, 0.191494
0.763990, 0.191497
0.763994, 0.191500
0.763998, 0.191502
0.764001, 0.191505
0.764004, 0.191507
0.764008, 0.191509
0.764010, 0.191512
0.764013, 0.191514
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
0.690869, 0.240733
